"","capture_time_in_zone","location_accuracy","species","date","number_of_sp_calling","water_body","habitat","lga_name","state","grid_id","grid_lat","grid_lng","record_sunrise","record_sunset","record_day_length","grid_sunrise","grid_sunset","grid_day_length","fraction","phase","present","year_day","day","year","mean_min_temp","Date","month","mean_max_temp","mean_vapour","mean_rainfall","rain_3_days","rain_10_days"
"1414","2017-11-30 23:10:14 +1000",3,"Cophixalus australis","2017-12-01",1,"None selected","None selected","Cairns (R)","QLD",4474,-17.25,145.75,2017-12-01 06:34:18,2017-12-01 19:39:09,13.0808333333333,2017-12-01 06:35:08,2017-12-01 19:39:41,13.0758333333333,0.904819431707736,0.400168506639711,0,"2017_335",335,2017,22.0949997901917,2017-12-01,12,26.5774998664856,15.3875000476837,9.54999995231628,9.54999995231628,12.9499999284744
"1415","2017-12-01 19:20:32 +1000",149.600006103516,"Cophixalus australis","2017-12-01",1,"None selected","None selected","Cairns (R)","QLD",4474,-17.25,145.75,2017-12-01 06:34:17,2017-12-01 19:39:07,13.0805555555556,2017-12-01 06:35:08,2017-12-01 19:39:41,13.0758333333333,0.904819431707736,0.400168506639711,0,"2017_335",335,2017,22.0949997901917,2017-12-01,12,26.5774998664856,15.3875000476837,9.54999995231628,9.54999995231628,12.9499999284744
"1416","2017-12-20 19:55:13 +1000",20,"Cophixalus australis","2017-12-20",1,"Stream or creek","Natural area","Cassowary Coast (R)","QLD",4473,-17.75,145.75,2017-12-20 06:39:44,2017-12-20 19:50:30,13.1794444444444,2017-12-20 06:39:59,2017-12-20 19:51:28,13.1913888888889,0.0275953212445056,0.0531233915501411,0,"2017_354",354,2017,17.1549997329712,2017-12-20,12,27.0583330790202,10.6899998982747,5.36666655540466,5.36666655540466,5.36666655540466
"1417","2017-12-20 19:51:58 +1000",14,"Cophixalus australis","2017-12-20",1,"Stream or creek","Natural area","Cassowary Coast (R)","QLD",4473,-17.75,145.75,2017-12-20 06:39:44,2017-12-20 19:50:30,13.1794444444444,2017-12-20 06:39:59,2017-12-20 19:51:28,13.1913888888889,0.0275953212445056,0.0531233915501411,0,"2017_354",354,2017,17.1549997329712,2017-12-20,12,27.0583330790202,10.6899998982747,5.36666655540466,5.36666655540466,5.36666655540466
"1418","2018-02-08 20:25:04 +1000",2.5,"Cophixalus australis","2018-02-08",2,"Stream or creek","Natural area","Cassowary Coast (R)","QLD",4473,-17.75,145.75,2018-02-08 07:08:36,2018-02-08 19:55:11,12.7763888888889,2018-02-08 07:08:59,2018-02-08 19:56:01,12.7838888888889,0.471948907642823,0.758933630568415,0,"2018_39",39,2018,20.6116663614909,2018-02-08,2,41.0083332061768,15.3716665903727,0,0,6.68333331743877
"1419","2018-04-05 21:57:43 +1000",10.5,"Cophixalus australis","2018-04-05",2,"Stream or creek","Natural area","Cassowary Coast (R)","QLD",4473,-17.75,145.75,2018-04-05 06:24:19,2018-04-05 18:16:23,11.8677777777778,2018-04-05 06:25:01,2018-04-05 18:16:55,11.865,0.791011036379513,0.651130859716999,0,"2018_95",95,2018,10.0983333587646,2018-04-05,4,29.3266665140788,12.0150000254313,0,0,0
"1420","2018-05-02 21:03:05 +1000",2800,"Cophixalus australis","2018-05-02",1,"Stream or creek","Natural area","Cassowary Coast (R)","QLD",4473,-17.75,145.75,2018-05-02 06:30:51,2018-05-02 17:57:50,11.4497222222222,2018-05-02 06:31:37,2018-05-02 17:58:53,11.4544444444444,0.954232485214087,0.568627565746987,0,"2018_122",122,2018,11.8766665458679,2018-05-02,5,26.4083334604899,8.1299999554952,0,0,0
"1421","2018-05-03 20:31:18 +1000",468.058990478516,"Cophixalus australis","2018-05-03",1,"Stream or creek","Natural area","Cassowary Coast (R)","QLD",4473,-17.75,145.75,2018-05-03 06:31:34,2018-05-03 17:57:33,11.4330555555556,2018-05-03 06:31:56,2018-05-03 17:58:23,11.4408333333333,0.906545218148971,0.598891711685073,0,"2018_123",123,2018,7.32333326339722,2018-05-03,5,25.6700000762939,10.7566668192546,1.51666665077209,1.51666665077209,1.51666665077209
"1422","2018-02-10 22:25:55 +1000",104.099998474121,"Cophixalus australis","2018-02-10",1,"None selected","None selected","Cairns (R)","QLD",4474,-17.25,145.75,2018-02-10 07:09:45,2018-02-10 19:54:02,12.7380555555556,2018-02-10 07:10:33,2018-02-10 19:54:38,12.7347222222222,0.286335906290349,0.820272553652677,0,"2018_41",41,2018,19.9000000953674,2018-02-10,2,34.0224990844727,12.5475001335144,0,0,0
"1423","2018-01-26 20:00:13 +1000",3,"Cophixalus australis","2018-01-26",1,"None selected","None selected","Cairns (R)","QLD",4474,-17.25,145.75,2018-01-26 07:01:44,2018-01-26 19:58:02,12.9383333333333,2018-01-26 07:02:33,2018-01-26 19:58:36,12.9341666666667,0.638563725934386,0.294691212810922,0,"2018_26",26,2018,20.6774997711182,2018-01-26,1,39.0950002670288,23.6724996566772,2.67500001192093,2.85000001452863,2.95000001601875
